rank,release,gross,theaters,total_gross,release_date,distributor,estimated,scraped_at
186,Bhool Bhulaiyaa 3,2230000,754,2230000,Nov 1,-,false,2025-12-13T12:16:56.182116
187,The Lion King2024 Re-release,2195943,"1,330",2195943,Jul 12,Walt Disney Studios Motion Pictures,false,2025-12-13T12:16:56.182116
188,Singham Again,2190000,749,2190000,Nov 1,-,false,2025-12-13T12:16:56.182116
189,Stree 2,2184000,666,2570000,Aug 16,Parthenos,false,2025-12-13T12:16:56.182116
190,The Holdovers,2146720,"1,601",20355375,Oct 27,Focus Features,false,2025-12-13T12:16:56.182116
191,Average Joe,2106965,"1,713",2106965,Oct 11,Fathom Events,false,2025-12-13T12:16:56.182116
192,The Ark and the Darkness,2097560,"1,030",2097560,Mar 20,Fathom Events,false,2025-12-13T12:16:56.182116
193,Between the Temples,2084121,576,2084122,Aug 23,Sony Pictures Classics,false,2025-12-13T12:16:56.182116
194,Lee,2005488,854,2005488,Sep 27,Roadside Attractions,false,2025-12-13T12:16:56.182116
195,Look Back,2002270,531,2002270,Oct 4,GKIDS,false,2025-12-13T12:16:56.182116
196,Yolo,2001584,200,2001584,Mar 8,Sony Pictures Releasing,false,2025-12-13T12:16:56.182116
197,Queen Rock Montreal,2000000,387,2000000,Jan 18,-,false,2025-12-13T12:16:56.182116
198,The Order,1980622,603,2010901,Dec 6,Vertical Entertainment,false,2025-12-13T12:16:56.182116
199,SUGA: Agust D Tour 'D-DAY' the Movie,1951896,787,1951896,Apr 10,Trafalgar Releasing,false,2025-12-13T12:16:56.182116
200,Out of Darkness,1951547,897,1951547,Feb 9,Bleecker Street Media,false,2025-12-13T12:16:56.182116
